PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,0,10,L,-35,KO,,,,,,,,,,,,
2,D,1,10,R,-18,,,1,,,,,,,ATF,CUSE,,
3,D,2,8,M,-20,,,0,,,,,,,ANCHOR,CUSE,,
4,D,3,8,M,-20,Pass,,17,TRIO,DRIVE SERIES,,,,,WOLF,TEXAS SHARK,,
5,D,1,10,R,-33,Pass,,0,TWINS,PENN,,,,,ATF,SYRACUSE,,
6,D,2,5,L,-38,,,47,,,,,,,ATF,CUSE,,
7,D,1,10,R,20,Run,,10,UNB DOUBLE TIGHT BOX,JET SWEEP,,,,,ATF,SYRACUSE,,
8,D,1,10,L,10,Run,,3,DEUCE,IZ,,,,,ATF,SYRACUSE,,
9,D,2,7,M,7,,,3,,,,,,,FIELD,CUSE,,
10,D,2,4,M,4,Run,,1,DEUCE,QB POWER RD,,,,,ANCHOR,SYRACUSE,,
11,D,3,3,R,3,Run,,0,TREY,IZ,,,,,ANCHOR,SYRACUSE,,
12,K,1,10,M,3,XP Block,,,,,,,,,,,,
13,K,1,10,M,-35,KO Rec,,,,,,,,,,,,
14,D,1,10,R,49,Run,,,UNB TWINS,POWER,,,,,ATF,SYRACUSE,,
15,K,0,10,M,3,FG Block,miss,,,,,,,,,,,
16,K,0,10,M,3,FG Block,miss,,,,,,,,,,,
17,K,0,10,R,-35,KO Rec,,,,,,,,,,,,
18,K,0,10,R,-35,KO Rec,,,,,,,,,,,,
19,O,1,10,L,44,Pass,,6,TRIPS,,,,,,,,,
20,O,2,4,R,38,Run,,0,TRUCK,HOUSTON,,,,,,,,
21,O,3,4,R,38,Pass,,0,DUCK,,,,,,,,,
22,O,4,4,R,38,Pass,,0,DOUBLES,NASA,,,,,,,,
23,D,1,10,M,-38,Run,,0,UNB TWINS,POWER,,,,,ANCHOR,SYRACUSE,,
24,D,2,9,R,-39,Run,,5,EMPTY,QB DRAW,,,,,WOLF,CLEMSON SHARK,,
25,D,3,4,M,-44,Pass,,,DOUBLES,DRIVE SERIES,,,,,TANK,CLEMSON,,
26,K,4,4,R,-44,Punt Rec,,,,,,,,,,,,
27,O,1,10,L,-7,Run,,5,TREY,MINNESOTA,,,,,,,,
28,O,2,5,L,-12,Run,,11,,LADDER,,,,,,,,
29,O,1,10,L,-23,Run,,4,,HAMMER,,,,,,,,
30,O,2,7,L,-27,Run,,5,TREY,MINNESOTA,,,,,,,,
31,O,2,1,L,-32,Run,,7,DUCK,HOUSTON,,,,,,,,
32,O,1,10,L,-39,Run,,3,,XEROX,,,,,,,,
33,O,2,7,L,-42,Pass,,0,DEUCE,,,,,,,,,
34,D,1,10,L,-36,,,5,,,,,,,ANCHOR,CUSE,,
35,D,2,5,L,-41,,,0,,,,,,,ANCHOR,CUSE,,
36,D,3,5,L,-41,,,7,,,,,,,TANK,TEXAS,,
37,D,1,10,L,-48,Run,,1,UNB DOUBLE TIGHT,QB POWER RD,,,,,ATF,SYRACUSE,,
38,D,2,7,R,49,Run,,5,UNB DOUBLE TIGHT FIB,JET SWEEP,,,,,ATF,SYRACUSE,,
39,D,3,2,L,44,Run,,,DOUBLES,QB POWER RD,,,,,WOLF,SYRACUSE SHARK,,
