PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,,,,,KO Rec,,,,,,,,,,,,
2,S,,,,,,,,,,,,,,,,,
3,S,,,,,,,,,,,,,,,,,
4,O,1,10,M,-16,Run,,4,TRUCK,WASHINGTON,,,,,,,,
5,S,,,,,,,,,,,,,,,,,
6,O,2,6,L,-20,Pass,,0,TRASH,,,,,,,,,
7,S,,,,,,,,,,,,,,,,,
8,O,3,6,L,-20,Pass,,0,,SANDPIPER,,,,,,,,
9,S,,,,,,,,,,,,,,,,,
10,K,4,6,L,-20,Punt,,,,,,,,,,,,
11,S,,,,,,,,,,,,,,,,,
12,D,1,10,R,50,Run,,0,RACKET,WHAM,,,,,EAGLE MOVE,CUSE,,
13,S,,,,,,,,,,,,,,,,,
14,D,2,10,R,50,Pass,,-3,RACKET,BUBBLE,,,,,FIELD MOVE,TEXAS,,
15,S,,,,,,,,,,,,,,,,,
16,D,3,13,L,-47,Pass,,0,DOUBLES,HAMMER,,,,,WOLF,CUSE SHARK,,
17,S,,,,,,,,,,,,,,,,,
18,K,,,L,,Punt Rec,,,,,,,,,,,,
19,S,,,,,,,,,,,,,,,,,
20,O,1,10,R,-16,Run,,2,DOUBLES,HOUSTON,,,,,,,,
21,S,,,,,,,,,,,,,,,,,
22,O,2,8,R,-18,Run,,5,BELL,NEW ENGLAND,,,,,,,,
23,S,,,,,,,,,,,,,,,,,
24,O,3,3,R,-23,,,-5,,,,,,,,,,
25,S,,,,,,,,,,,,,,,,,
26,O,3,8,R,-18,Pass,,18,,VULTURE,,,,,,,,
27,S,,,,,,,,,,,,,,,,,
28,O,1,10,R,49,Run,,0,DEUCE,HOUSTON,,,,,,,,
29,S,,,,,,,,,,,,,,,,,
30,O,2,10,R,49,Pass,,0,DOUBLES,,,,,,,,,
31,S,,,,,,,,,,,,,,,,,
32,O,3,10,R,49,Pass,,0,DOUBLES,,,,,,,,,
33,S,,,,,,,,,,,,,,,,,
34,K,,,R,,Punt,,,,,,,,,,,,
35,S,,,,,,,,,,,,,,,,,
36,D,1,10,L,-11,Run,,8,DEUCE,PIN PULL,,,,,MOVE FIELD,CUSE,,
37,S,,,,,,,,,,,,,,,,,
38,D,2,2,L,-19,Run,,5,DOUBLES,QB ISO,,,,,OKIE,CHECK,,
39,S,,,,,,,,,,,,,,,,,
40,D,1,10,L,-24,Pass,,12,TREY,RPO X SLANT,,,,,OKIE,HOUSTON,BILL FALCON,
41,S,,,,,,,,,,,,,,,,,
42,D,1,10,L,-36,Run,,12,DOUBLES,TACKLE WRAP,,,,,FIELD,TEXAS,,
43,S,,,,,,,,,,,,,,,,,
44,O,1,10,M,48,Pass,,0,TRIO,,,,,,,,,
45,S,,,,,,,,,,,,,,,,,
46,O,2,10,M,48,Pass,,0,TRIO,,,,,,,,,
47,S,,,,,,,,,,,,,,,,,
48,O,3,10,M,48,Pass,,0,TENT,AKRON,,,,,,,,
49,S,,,,,,,,,,,,,,,,,
50,K,4,10,M,48,Punt,,,,,,,,,,,,
51,S,,,,,,,,,,,,,,,,,
52,D,1,10,L,-11,Pass,,2,RACKET,BUBBLE,,,,,MOVE FIELD,CUSE,,
53,S,,,,,,,,,,,,,,,,,
54,D,2,8,R,-13,Run,,6,TITAN FIB,QB POWER RD,,,,,FIELD,BAMA OUT,,
55,S,,,,,,,,,,,,,,,,,
56,D,3,2,R,-19,Pass,,0,DEUCE,PENN/BAMA Z FADE,,,,,OKIE,CHECK,,
57,S,,,,,,,,,,,,,,,,,
58,K,4,2,R,-19,Punt Rec,,,,,,,,,,,,
59,S,,,,,,,,,,,,,,,,,
60,O,1,10,R,45,Run,,4,DOUBLES,NEW ENGLAND,,,,,,,,
61,S,,,,,,,,,,,,,,,,,
62,O,2,6,M,41,Run,,-2,TRUCK,WASHINGTON,,,,,,,,
63,S,,,,,,,,,,,,,,,,,
64,O,3,8,R,43,Pass,,20,,VULTURE,,,,,,,,
65,S,,,,,,,,,,,,,,,,,
66,O,1,10,R,23,Pass,,8,,SEAGULL,,,,,,,,
67,S,,,,,,,,,,,,,,,,,
68,O,2,2,R,15,Pass,,7,,SPARROW,,,,,,,,
69,S,,,,,,,,,,,,,,,,,
70,O,1,8,L,8,Pass,,8,,SEAGULL,,,,,,,,
71,S,,,,,,,,,,,,,,,,,
72,K,,,,,FG,,,,,,,,,,,,
73,S,,,,,,,,,,,,,,,,,
74,K,,,,,KO,,,,,,,,,,,,
75,S,,,,,,,,,,,,,,,,,
76,D,1,10,L,-20,Run,,80,TREY,TACKLE WRAP,,,,,FIELD,TEXAS,,
77,S,,,,,,,,,,,,,,,,,
78,K,,,,,FG Block,,,,,,,,,,,,
79,S,,,,,,,,,,,,,,,,,
80,K,,,,,KO Rec,,,,,,,,,,,,
81,S,,,,,,,,,,,,,,,,,
82,O,1,10,L,-33,Run,,3,DEUCE,NY,,,,,,,,
83,S,,,,,,,,,,,,,,,,,
84,O,2,7,L,-36,Run,,3,,XEROX,,,,,,,,
85,S,,,,,,,,,,,,,,,,,
86,O,3,4,L,-39,Pass,,6,,SEAGULL,,,,,,,,
87,S,,,,,,,,,,,,,,,,,
88,O,1,10,R,-45,Run,,2,,LADDER,,,,,,,,
89,S,,,,,,,,,,,,,,,,,
90,O,2,8,R,-47,Pass,,0,TRIO,,,,,,,,,
91,S,,,,,,,,,,,,,,,,,
92,O,3,8,R,-47,Pass,,5,TRIO,JOKER,,,,,,,,
93,S,,,,,,,,,,,,,,,,,
94,K,,,L,,Punt,,,,,,,,,,,,
95,S,,,,,,,,,,,,,,,,,
96,K,4,8,L,-47,Punt,,,,,,,,,,,,
97,S,,,,,,,,,,,,,,,,,
98,D,1,10,L,-16,Run,,11,DUO WING,COUNTER,,,,,EAGLE MOVE,CUSE,,
99,S,,,,,,,,,,,,,,,,,
100,D,1,10,R,-27,Run,,0,UNB TWINS,SPLIT ZONE,,,,,FIELD,TEXAS,,
101,S,,,,,,,,,,,,,,,,,
102,D,2,10,M,-27,Pass,,3,TRAP,ROCKET,,,,,OKIE,HOUSTON,BEAR,
103,S,,,,,,,,,,,,,,,,,
104,D,3,7,R,-30,Pass,,,DOUBLES,PENN DONUT,,,,,WOLF,CLEMSON SHARK,,
105,S,,,,,,,,,,,,,,,,,
106,O,1,10,R,29,Pass,,-8,DOUBLES,,,,,,,,,
107,S,,,,,,,,,,,,,,,,,
108,O,2,18,R,37,Run,,-1,DOUBLES,HOUSTON,,,,,,,,
109,S,,,,,,,,,,,,,,,,,
110,O,3,19,M,38,Pass,,15,BELL,,,,,,,,,
111,S,,,,,,,,,,,,,,,,,
112,K,4,4,L,-23,FG,,,,,,,,,,,,
113,S,,,,,,,,,,,,,,,,,
114,K,,,,,KO,,,,,,,,,,,,
115,S,,,,,,,,,,,,,,,,,
116,D,1,10,R,-49,Run,,3,PRO,POWER,,,,,FIELD,CUSE,,
117,S,,,,,,,,,,,,,,,,,
118,D,2,9,M,48,Run,,-5,TRAP,PIN PULL,,,,,OKIE,CHECK,,
119,S,,,,,,,,,,,,,,,,,
120,D,3,12,M,-47,Pass,,33,DOUBLES,VIRGINIA GEORGIA,,,,,WOLF,CUSE SHARK,,2
121,S,,,,,,,,,,,,,,,,,
122,D,1,10,M,20,Run,,1,DUO WING,COUNTER,,,,,OKIE,HOUSTON,MULE,
123,S,,,,,,,,,,,,,,,,,
124,D,2,9,R,19,Pass,,19,TREY,Y POP PASS,,,,,FIELD,TEXAS,,
125,S,,,,,,,,,,,,,,,,,
126,K,,,,,FG Block,,,,,,,,,,,,
127,S,,,,,,,,,,,,,,,,,
128,K,,,,,KO Rec,,,,,,,,,,,,
129,S,,,,,,,,,,,,,,,,,
130,O,1,10,L,-27,Pass,,0,TRASH,,,,,,,,,
131,S,,,,,,,,,,,,,,,,,
132,O,2,10,L,-27,Run,,1,DOUBLES,NEW ENGLAND,,,,,,,,
133,S,,,,,,,,,,,,,,,,,
134,S,,,,,,,,,,,,,,,,,
135,O,3,9,M,-28,Pass,,-1,EXTRA,,,,,,,,,
136,S,,,,,,,,,,,,,,,,,
137,K,4,10,M,-27,Punt,,,,,,,,,,,,
138,S,,,,,,,,,,,,,,,,,
139,D,1,10,L,-30,Run,,5,PRO,POWER,,,,,FIELD,CUSE,,
140,S,,,,,,,,,,,,,,,,,
141,D,2,5,L,-35,Run,,20,TRAP,TACKLE WRAP,,,,,OKIE,HOUSTON,BEAR,
142,S,,,,,,,,,,,,,,,,,
143,D,1,10,R,45,Run,,7,DUO,QB COUNTER,,,,,EAGLE,CUSE,,
144,S,,,,,,,,,,,,,,,,,
145,D,2,3,R,38,Run,,4,TRAP,TACKLE WRAP,,,,,OKIE,HOUSTON,OTTER,
146,S,,,,,,,,,,,,,,,,,
147,D,1,10,R,34,Pass,,34,PRO,CRACK AND GO,,,,,EAGLE,CUSE,,
148,S,,,,,,,,,,,,,,,,,
