PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,1,10,L,-35,KO,,,,,,,,,,,,
2,D,1,10,R,-30,Run,,6,DUCK,SPLIT ZONE,,,,,OKIE,TEXAS,,
3,D,2,4,R,-36,Pass,,3,TRIO,RUTGERS,,,,,FIELD,TEXAS,,
4,D,3,1,L,-39,Run,,2,TWINS R,POWER,,,,,EAGLE,CUSE,,
5,D,1,10,L,-41,Pass,,-4,EMPTY,VIRGINIA GEORGIA,,,,,WOLF,TEXAS,,
6,D,2,14,R,-37,Pass,,16,TRIO,CURL SLIDE,,,,,ATF,TEXAS,,
7,D,1,10,R,47,Pass,,38,TRIO,VIRGINIA,,,,,ATF,TEXAS,,
8,D,1,8,R,9,Run,,6,RACKET,POWER,,,,,FIELD,CUSE,,
9,D,2,1,M,1,Run,,1,UNB DEUCE,QB POWER RD,,,,,ANCHOR AWAY,CARDINAL,,
10,K,,,M,3,XP Block,,,,,,,,,,,,
11,K,2,1,M,-35,KO Rec,,,,,,,,,,,,
12,O,1,10,L,-18,Run,,0,DEUCE,NY,,,,,,,,
13,O,2,9,L,-18,Run,,1,BELL,NEW ENGLAND,,,,,,,,
14,O,3,8,L,-21,Pass,,-5,DOUBLES,,,,,,,,,
15,K,4,13,L,-16,Punt,RTD,,,,,,,,,,,
16,K,4,13,M,3,XP Block,,,,,,,,,,,,
17,K,4,13,M,-35,KO Rec,,,,,,,,,,,,
18,O,1,10,L,-27,,,6,DASH,HOUSTON,,,,,,,,
19,O,2,5,L,-33,Run,,2,,XEROX,,,,,,,,
20,O,3,3,L,-35,Pass,,0,DOUBLES,,,,,,,,,
21,K,4,3,L,-35,Punt,,,,,,,,,,,,
22,D,1,10,L,-30,Run,,2,TRUCK,OZ,,,,,FIELD,CLEMSON,,
23,D,2,8,R,-32,Pass,,9,DOUBLES,VIRGINIA,,,,,ATF,TEXAS,,
24,D,1,10,R,-41,Pass,,0,EMPTY,STICK PRINCETON,,,,,ATF,TEXAS,,
25,D,2,10,R,-41,Pass,,5,EMPTY,STICK PRINCETON,,,,,WOLF,TEXAS,,
26,D,3,5,L,-46,Pass,,8,DOUBLES,DARTMOTH,,,,,FIELD,FL OUT,,
27,D,1,10,L,44,Pass,,23,DOUBLES,PENN PRINCETON,,,,,FIELD,CLEMSON,,
28,D,1,10,L,21,Pass,,4,TRAP,RPO BUBBLE,,,,,ATF,TEXAS,,
29,D,2,6,M,17,Pass,,8,TRUCK,BOOT FLOOD,,,,,OKIE,HOUSTON,BILL FALCON,
30,D,1,9,R,9,Pass,,9,TRUCK,X FADE,,,,,FIELD,MAINE,BEAR,
31,K,1,9,M,3,XP Block,,,,,,,,,,,,
32,K,1,9,M,-35,KO Rec,,,,,,,,,,,,
33,O,1,10,L,-28,Run,,4,TRIPS,NY,,,,,,,,
34,O,2,6,L,-32,Run,,9,TRIPS,NY,,,,,,,,
35,O,1,10,R,-41,Pass,,0,BANG,NASA,,,,,,,,
36,O,2,10,R,-41,Run,,1,TRIPS,NY,,,,,,,,
37,O,3,9,R,-42,Pass,,7,TRIPS,,,L,,,,,,
38,K,4,2,M,-49,Punt,,,,,,,,,,,,
39,D,1,10,L,-25,Run,,-7,DUCK,OZ,,,,,ATF,TEXAS,,2
40,D,2,17,L,-18,Pass,,0,EMPTY,VIRGINIA PRINCETON,,,,,OKIE,TEXAS,,
41,D,3,17,L,-18,,,0,,,,,,,WOLF,CUSE SPY,,
42,K,4,17,L,-18,Punt Rec,,,,,,,,,,,,
43,O,1,10,L,43,Run,,1,TREY,MINNESOTA,,R,,,,,,
44,O,2,9,M,42,Pass,,5,,SEAGULL,,,,,,,,
45,O,3,4,L,37,Pass,,3,EMPTY,,,,,,,,,
46,O,4,1,R,34,Run,,2,ROYAL,MINNESOTA,,R,,,,,,
47,O,1,10,R,32,Run,,1,TRASH,DENVER,,L,,,,,,
48,O,2,9,M,31,Pass,,3,TENT,,,,,,,,,
49,O,3,6,L,28,Run,,-10,,JACK,,R,,,,,,
50,O,3,16,L,38,Pass,,5,TENT,AKRON,,,,,,,,
51,O,4,11,L,33,Pass,,0,TRIPS,,,,,,,,,
52,D,1,10,R,-33,Run,,4,DUCK,DRAW FOLD,,,,,FIELD,CLEMSON,,
53,D,2,6,R,-37,Pass,,3,TRIO,HAWAII WHEEL,,,,,OKIE,FL IN,,
54,D,3,3,R,-40,Pass,,10,TRIO,DARTMOTH,,,,,OKIE,CUSE,,
55,D,1,10,R,50,Pass,,0,TRIO,HAWAII WHEEL,,,,,OKIE,TEXAS,,
56,D,2,10,R,50,Pass,,11,BUNCH,DRIVE SERIES,,,,,WOLF,CLEMSON SPY,,
57,D,1,10,R,39,Pass,,6,RACKET,SMASH X POST,,,,,FIELD,CLEMSON,,
58,D,2,10,R,39,,,6,,,,,,,,,,
59,D,2,4,R,33,Pass,,2,DUCK,DOUBLE POST,,,,,WOLF,CLEMSON SPY,,
60,D,3,5,L,35,Pass,,0,DOUBLES,VIRGINIA PRINCETON,,,,,WOLF,CUSE SPY,,
61,D,4,5,L,34,Pass,,,DOUBLES,DARTMOTH,,,,,FIELD,TEXAS,,
62,D,1,10,L,24,Run,,6,DUCK,JET SWEEP,,,,,WOLF,CLEMSON SPY,,
63,D,2,4,L,18,Pass,,0,DOUBLES,X FADE,,,,,FIELD,FL OUT,,
64,D,3,4,L,18,Run,,-1,TWINS,POWER,,,,,FIELD,CLEMSON,,
65,D,4,5,L,19,Pass,,,TWINS,SMASH,,,,,FIELD,TEXAS,,
66,K,4,5,M,-3,XP Block,,,,,,,,,,,,
67,K,4,5,M,-35,KO Rec,,,,,,,,,,,,
68,O,1,10,L,-29,Run,,5,DEUCE,HOUSTON,,L,,,,,,
69,O,2,5,L,-34,Run,,2,DUCK,HOUSTON,,L,,,,,,
70,O,3,3,L,-36,Run,,10,EMPTY,NY Q,,,,,,,,
