PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,,,,-35,KO,,,,,,,,,,,,1
2,O,1,10,M,-21,Run,,2,DUCK,COUNTER Y,,,,,OKIE,CLEMSON,,
3,O,2,8,L,-23,Run,,-5,RACKET,OZR OPT,,,,,OKIE,FLORIDA IN,,
4,O,2,13,L,-18,Pass,,6,EMPTY,GEORGIA SWITCH,,,,,OKIE,FLORIDA IN,,
5,O,3,7,R,-24,Pass,,15,DOUBLES,SWITCH,,,,,OKIE,CLEMSON,,
6,O,1,10,M,-39,,,5,DUCK,,,,,,,CLEMSON,,
7,O,1,5,M,-44,Run,,-5,TRUCK,OZ,,,,,OKIE,CLEMSON,,
8,O,1,10,M,-39,Pass,,2,DUCK,RPO BUBBLE,,,,,OKIE,HOUSTON,BEAR,
9,O,2,8,L,-41,Pass,,0,EMPTY,DARTMOUTH PRINCETON,,,,,OKIE,FL IN,BTF,
10,O,3,8,L,-41,,,5,TRIO,,,,,,WOLF,CUSE,,
11,O,3,3,,-46,Pass,,-7,TRUCK,RPO SEEM,,,,,FIELD,CLEMSON,,
12,O,1,10,,39,Run,,4,DOUBLES,DRAW,,,,,OKIE,CLEMSON,ATF,
13,O,2,6,,35,Pass,,3,EMPTY,DRIVE SERIES,,,,,OKIE,FL IN,BTF,
14,O,3,3,,32,,,5,,,,,,,FIELD,CLEMSON,HOUND,
15,O,1,10,,27,Pass,,2,TRIO,BUBBLE,,,,,OKIE,CUSE,,
16,O,2,8,,25,Run,,11,TRAP,OZ,,,,,OKIE,CLEMSON,ATF,
17,O,1,10,,14,Run,,4,TRUCK,IZR,,,,,OKIE,CLEMSON,ATF,
18,O,2,6,,10,Run,,4,DUCK,OZ,,,,,FIELD,CUSE,,
19,O,3,2,,6,Run,,5,DUCK,IZR,,,,,ANCHOR,STANFORD,,
20,O,1,1,,1,Run,,1,DUCK,IZR,,,,,ANCHOR,STANFORD,,
21,K,0,,,3,XP Block,,,,,,,,,,,,
22,K,0,,,-35,KO Rec,,,,,,,,,,,,
23,D,1,10,,-12,Run,,3,TRIPS,NEW ENGLAND,,,,,,,,
24,D,2,7,,-15,Pass,,5,DOUBLES,,,,,,,,,
25,D,3,2,R,-20,Pass,,5,,TOUCAN,,,,,,,,
26,D,1,10,,-25,Run,,2,DUCK,LA,,,,,,,,
27,D,2,8,R,-27,Run,,4,,HAMMER,,,,,,,,
28,D,3,4,,-31,Pass,,0,DOUBLES,,,,,,,,,
29,K,4,4,,-31,Punt,,,,,,,,,,,,
30,O,1,10,,-20,Run,,3,TRUCK,COUNTER Y,,,,,OKIE,HOUSTON,FALCON,
31,O,2,7,,-23,Run,,-1,DOUBLES,JERK DRIVE,,,,,OKIE,FLORIDA IN,,
32,O,3,8,,-22,Pass,,,TRIO,CURL SEEM WHEEL,,,,,FIELD,CUSE,,
33,K,4,6,,-24,Punt Rec,,,,,,,,,,,,
