PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,,,L,,KO Rec,,,,,,,,,,,,
2,O,1,10,M,-29,Run,,7,DEUCE,NY,,,,,,,,
3,O,2,3,L,-36,Pass,,0,TRIPS,,,,,,,,,
4,O,3,3,L,-36,Pass,,11,DOUBLES,,,,,,,,,
5,O,1,10,R,-47,Run,,1,TRIO,WASHINGTON,,,,,,,,
6,O,2,9,L,-48,Run,,5,DOUBLES,HOUSTON,,,,,,,,
7,O,3,4,L,47,Pass,,0,TRIO,,,,,,,,,
8,K,4,4,L,47,Punt,,,,,,,,,,,,
9,D,1,10,L,-24,Run,,6,STACK RACKET,SPLIT ZONE,,,,,FIELD,CUSE,,
10,D,2,4,M,-30,Run,,4,RACKET,COUNTER,,,,,OKIE,FLORIDA IN,MIKE,
11,D,1,10,L,-34,Run,,6,TRUCK,POWER,,,,,OKIE,CUSE,,
12,D,2,4,M,-40,Pass,,10,RACKET,BUBBLE,,,,,FIELD,CUSE,,
13,D,1,10,R,50,Pass,,0,PRO WING,FLOOD,,,,,OKIE,HOUSTON,MONSTER,
14,D,2,10,R,50,Pass,,,EMPTY,E WHIP GEORGIA,,,,,CHECK WOLF TEXAS,CUSE,,
15,D,3,10,R,50,Pass,,,TRIO,HAWAII,,,,,WOLF,CUSE,,
16,K,4,4,L,44,Punt Rec,,,,,,,,,,,,
17,O,1,10,M,-7,Run,,1,DEUCE,NY,,,,,,,,
18,O,2,9,R,-8,Pass,,0,DEUCE,,,,,,,,,
19,O,3,9,R,-8,Pass,,20,DOUBLES,AKRON,,,,,,,,
20,O,1,10,R,-28,Run,,2,DUCK,LA,,,,,,,,
21,O,2,8,R,-30,Pass,,15,DOUBLES,,,,,,,,,
22,O,1,10,R,-45,Run,,1,DEUCE,HOUSTON,,,,,,,,
23,O,2,9,R,-46,Pass,,0,TRIPS,,,,,,,,,
24,O,3,9,L,-46,Pass,,0,,VULTURE,,,,,,,,
25,K,4,9,L,-46,Punt,,,,,,,,,,,,
26,K,4,14,L,-41,Punt,,,,,,,,,,,,
27,D,1,10,L,-13,Pass,,8,TRIO,RPO HITCH,,,,,ATF,CUSE,,
28,D,2,2,R,-21,Run,,4,DUCK,IZ FOLD,,,,,ATF,CUSE,,
29,D,1,10,M,-25,Pass,,0,RACKET,RPO X SLANT,,,,,OKIE,FLORIDA IN,MIKE,
30,D,2,10,M,-25,,,5,RACKET,,,,,,OKIE,HOUSTON,FLIP FLYER,
31,D,2,5,M,-30,Run,,,RACKET,SPLIT ZONE,,,,,FIELD,CUSE,,
32,D,3,1,L,-34,Run,,,TWINS,ISO,,,,,OKIE,HOUSTON,MONSTER,
33,K,4,1,M,-34,Punt Rec,,,,,,,,,,,,
34,O,1,10,L,50,Pass,,-5,TRUCK,,,,,,,,,
35,O,2,15,M,-45,Run,,1,DEUCE,NY,,,,,,,,
36,O,3,14,M,-46,Pass,,0,TENT,,,,,,,,,
37,K,4,14,M,-46,Punt,,,,,,,,,,,,
38,O,1,10,,39,,,-5,,,,,,,,,,
39,O,1,15,R,44,Run,,0,DUO,NY,,,,,,,,
40,O,2,15,R,44,Pass,,0,DUO,,,,,,,,,
41,O,3,15,R,44,Pass,,0,DOUBLES,,,,,,,,,
42,K,4,15,R,44,Punt,,,,,,,,,,,,
43,D,1,10,R,-12,Pass,,9,TRIO,RB SWING,,,,,ATF,CUSE,,
44,D,2,1,L,-21,Run,,8,DOUBLES,IZ,,,,,OKIE,HOUSTON,FALCON,
45,D,1,10,R,-29,Run,,30,TRIO,X FADE,,,,,OKIE,CUSE,,
46,D,1,10,R,41,Pass,,8,TRIO,RPO HITCHES,,,,,FIELD,CUSE,,
47,D,2,2,M,33,Run,,6,EMPTY,JET SWEEP,,,,,ATF,CUSE,,
48,D,1,10,R,27,Run,,,TRIO,IZR,,,,,ATF,CUSE,,
49,D,2,7,R,24,Pass,,,BONE,X FADE,,,,,OKIE,CUSE,,2
50,K,0,10,M,0,FG Block,,,,,,,,,,,,
51,K,0,,L,-35,KO Rec,,,,,,,,,,,,
52,O,1,10,L,-25,Run,,2,DOUBLES,HOUSTON,,,,,,,,
53,O,2,8,L,-27,Pass,,6,TRIO,,,,,,,,,
54,O,3,2,L,-33,Pass,,0,BUNCH,,,,,,,,,
55,K,4,2,L,-33,Punt,,,,,,,,,,,,
56,D,1,10,L,-37,Run,,-3,DUCK,JET SWEEP,,,,,OKIE,FLORIDA IN,MIKE,
57,D,2,13,L,-34,Pass,,,TRIO,DRIVE SERIES,,,,,TANK,CUSE,,
58,D,3,6,L,-41,Pass,,,TRIO,DOUBLE POST WHEEL,,,,,ATF,CUSE,,
59,K,4,6,L,-41,Punt Rec,,,,,,,,,,,,
60,O,1,10,L,-6,Run,,8,DUCK,HOUSTON,,,,,,,,
61,O,2,2,L,-14,Run,,1,TRUCK,WASHINGTON,,,,,,,,
62,O,3,1,R,-15,Pass,,0,BUNCH,,,,,,,,,
63,D,1,10,M,21,Run,,,TREY,Y POP PASS,,,,,FIELD,CUSE,,
64,K,0,10,M,0,FG Block,,,,,,,,,,,,
65,K,0,,L,-35,KO Rec,,,,,,,,,,,,
66,O,1,10,M,-15,Pass,,17,DUO,,,,,,,,,
67,O,1,10,L,-32,Run,,3,DUO,NY,,,,,,,,
68,O,2,7,L,-35,Run,,0,TREY,NEW ENGLAND,,,,,,,,
69,D,1,10,L,31,Pass,,-5,TRUCK,F SLIDE,,,,,ATF,CUSE,,
70,D,1,15,R,36,Run,,17,EMPTY,Y HITCH,,,,,WOLF,TEXAS,,
71,D,1,10,L,19,Run,,0,TRIO,X FADE,,,,,FIELD,CUSE,,
72,D,2,10,L,19,Run,,2,TIGHT DOUBLES,OZ,,,,,FIELD,CUSE,,
73,D,3,8,R,17,Pass,,11,TRIO,JOKER,,,,,FIELD,CUSE,,
74,D,1,6,R,6,Run,,-10,DOUBLE SLOT,JET SWEEP,,,,,FIELD,MAINE,,
75,D,1,16,L,16,Run,,0,TRIO,X FADE,,,,,TANK,CUSE,,
76,D,2,16,L,16,Pass,,,TRIO,DRIVE SERIES,,,,,OKIE,FLORIDA IN,MIKE,
77,D,3,14,L,14,Pass,,,TRIO,DOUBLE POST WHEEL,,,,,TANK,CUSE,,
78,K,4,14,L,14,FG Block,,,,,,,,,,,,
79,K,,,L,,KO Rec,,,,,,,,,,,,
80,O,1,10,L,-25,Run,,7,TREY,WASHINGTON,,,,,,,,
81,O,2,3,M,-32,Run,,2,TREY,WASHINGTON,,,,,,,,
82,O,3,1,R,-34,Pass,,7,TRIO,,,,,,,,,
83,O,1,10,L,-41,Run,,3,DUCK,HOUSTON,,,,,,,,
84,O,2,7,L,-44,Run,,2,DUCK,HOUSTON,,,,,,,,
85,O,3,5,M,-46,Pass,,0,DOUBLES,,,,,,,,,
86,K,4,5,M,-46,Punt,,,,,,,,,,,,
87,D,1,10,M,31,Pass,,3,EMPTY,DRIVE SERIES,,,,,WOLF,TEXAS,,
